Read_fragtion	Genomospecies	MG_1T016	MG_1T034	MG_1T039	MG_1T055	MG_1T072	MG_1T078	MG_1T091	MG_2T009	MG_2T010	MG_2T016	MG_2T048	MG_2T066	MG_2T078	MG_2T084	MG_3T000
1	gsp008	3.33422602053756	0.647895784761705	0.283341411625165	0.682360126893904	5.89134242033294	5.75658740352194	11.6583534571493	2.16442176450029	2.1459970266133	1.92179398486075	0.134858092938231	0.450804161590767	0.591846822162997	0.697743399891746	1.96303066826411
5	gsp008	16.7988260827668	3.17675302528433	1.44338172158227	3.37871655359455	29.5467042726733	28.9302500626847	58.0712313570044	10.9443561505525	10.6071874264384	9.66682439711253	0.644755079136097	2.27390682972831	2.95773591129125	3.4858308678962	9.81867327120959
10	gsp008	33.3460136146784	6.37657400841964	2.91042780428193	6.78186358761495	59.2093265197616	57.819722730012	116.659440790436	21.8441910849218	21.3335313353824	19.3595626120354	1.30086243555944	4.47853259866423	5.84098086283828	7.09905999366202	19.7179281027233
20	gsp008	67.0088281107297	12.8052690598546	5.77767965569697	13.517156901522	118.31439321481	115.525393403224	233.480707265237	43.6337383985422	42.5918099065267	38.8380511037056	2.57625404094376	8.96032432064442	11.7225895407935	14.1665489681121	39.381404683108
30	gsp008	100.411760362866	19.139130718268	8.67227880222664	20.1943752076504	177.294564244474	173.602029305262	350.102589032604	65.3573644536941	64.0105137649778	58.0429204199561	3.88304023756411	13.5336601086279	17.600242972006	21.1381200927973	58.793678988339
40	gsp008	133.805798343782	25.6299754007624	11.5341985016087	26.9477188294196	236.638611262529	231.628430217702	466.571342343625	87.0370580251477	85.3773223890457	77.5003089886698	5.17924411159645	17.9932602595505	23.3833880595655	28.2439020882264	78.6225520019062
50	gsp008	167.418181286457	32.0505538064576	14.3931946743681	33.548061042162	295.992919868619	289.34818061047	583.307467457908	108.983475698245	106.47012254553	96.8874159390211	6.46988810726821	22.5490970770966	29.2613962644253	35.2671536654111	98.3294921894664
60	gsp008	200.859149108967	38.3553796389651	17.2672289349551	40.430909510187	355.088410072311	347.282215724431	700.072230955727	130.895713806975	127.84359899647	116.207850853159	7.72012817875989	27.0203855814237	35.1460612694089	42.4062824659837	118.024298159444
70	gsp008	234.328203498164	44.8042977471394	20.1662560401412	47.0784092908506	414.379441442452	404.920410367637	816.639621408576	152.637784735816	149.281928549546	135.635265363497	9.04482708859801	31.4607958339985	40.9920976567201	49.3984309416316	137.665985884803
80	gsp008	267.711624158551	51.0995926335567	23.03398683598	53.8370313691818	473.467579202018	462.677130571564	933.289811715872	174.568902555665	170.350506774978	154.931733879493	10.3542654579433	35.977155453662	46.832057346763	56.5148436814574	157.303631108279
